LAIS100,4,0,0
CSM101,0.5,0,0
CSCI101,3,0,0
CHGN121,4,0,0
MATH111,4,0,0
PHGN100,4.5,1,MATH111,1,MATH112
CSCI261,3,0,0
MATH112,4,1,MATH111,0
EPIC151,3,0,0
CSCI262,3,1,CSCI261,0
PHGN200,4.5,1,PHGN100,1,MATH213
MATH213,4,1,MATH112,0
CSCI358,3,1,MATH213,0
EBGN201,3,0,0
CSCI341,3,1,CSCI261,1,CSCI262
MATH225,3,1,MATH112,0
LAIS200,3,1,LAIS100,0
CSCI274,1,1,CSCI261,0
CSCI306,3,1,CSCI262,0
MATH332,3,1,MATH213,0
CSCI403,3,1,CSCI262,0
CSCI406,3,3,CSCI262,MATH213,CSCI358,0
MATH201,3,1,MATH112,0
CSCI442,3,2,CSCI262,CSCI341,0
CSCI400,3,1,CSCI306,0
CBEN110,4,0,0
GEGN101,4,0,0
CHGN122,4,1,CHGN121,0
CHGN125,4,1,CHGN121,0
CSCI404,3,2,CSCI262,MATH201,0
CSCI423,3,2,CSCI306,CSCI274,0
CSCI437,3,3,MATH201,MATH332,CSCI261,0
CSCI440,3,2,CSCI262,CSCI341,0
CSCI441,3,2,CSCI262,MATH201,0
CSCI444,3,1,CSCI441,0
CSCI445,3,1,CSCI262,1,CSCI403
CSCI446,3,1,CSCI445,1,CSCI400
CSCI448,3,1,CSCI306,0
CSCI455,3,2,CSCI406,CSCI358,0
CSCI470,3,2,MATH201,MATH332,0
CSCI471,3,2,CSCI262,CSCI274,0
CSCI473,3,2,CSCI262,MATH201,0
CSCI474,3,3,CSCI262,CSCI358,MATH201,0
CSCI475,3,2,CSCI262,CSCI341,0
CSCI498,3,1,CSCI262,0
EENG383,4,2,EENG281,EENG284,0
MATH307,3,1,MATH213,1,MATH225
EENG281,3,1,PHGN200,0
EENG284,4,1,CSCI261,1,EENG281
EBGN320,3,1,EBGN201,0
EBGN321,3,1,EBGN201,0
EBGN345,3,0,0
EBGN346,3,1,EBGN201,0
EBGN360,3,1,EBGN201,0
EBGN425,3,3,EBGN201,EBGN201,MATH112,0
EBGN460,3,2,EBGN201,EBGN361,0
EBGN485,3,1,EBGN231,0
EENG307,3,2,EENG281,MATH225,0
GPGN350,3,0,0
MATH334,3,1,MATH213,0
MATH335,3,1,MATH334,0
MATH424,3,1,MATH201,0
MATH432,3,1,MATH335,1,MATH424
MATH436,3,2,MATH335,MATH424,0
MATH437,3,1,MATH335,0
MATH438,3,1,MATH334,0
MATH439,3,1,MATH335,0
MEGN441,3,2,CSCI261,EENG281,0
EBGN361,3,1,EBGN201,0
EBGN321,3,1,EBGN201,0
PAGN102,0.5,0,0
PAGN201,0.5,0,0
PAGN207,0.5,0,0
PAGN210,0.5,0,0
PAGN205,0.5,0,0
PAGN221,0.5,0,0
PAGN232,0.5,0,0
PAGN257,0.5,0,0
LAIS226,3,1,LAIS100,1,LAIS200
LAIS220,3,1,LAIS100,1,LAIS200
LAIS201,3,1,LAIS100,1,LAIS200
LAIS202,3,0,0
LAIS409,3,1,LAIS100,1,LAIS200
LAIS407,3,1,LAIS100,1,LAIS200
